date_jst,campaign_day,platform,format,caption,visual_prompt,video_script,cta,spoiler_level,status
2026-06-10,Day -1,X/Threads,text_post,"玩法說明：①免費遊玩，瀏覽器打開就能玩，不用下載不用註冊②每天一章，跟著故事內時間 6/11~6/17 同步推進③你的選擇會影響信任、好感與真相，通往不同結局④主線完整免費。明晚21:00，信箱見。","","","收藏這則，明天直接點連結",none,draft
2026-06-10,Day -1,小紅書,image_post,"明晚開演｜新手須知：免費、零下載、選擇分歧、多結局｜建議睡前玩，但我們不保證你睡得著","倒數海報：「D-1」大字＋一封信插在傘骨之間，雨夜街燈散景，底部小字「6/11 21:00 JST」","","點關注，開演連結明天置頂",none,draft
2026-06-11,Day 0,TikTok/Reels,short_video,"今晚，第一封信送達。你的雨夜，從這裡開始。#雨夜偵探社 #第七封情書","封面：清晨的雨後街道，信箱上貼著「今晚21:00」字條","0-3秒：清晨雨停的街道空鏡，旁白「二十五歲的人生，平凡得像連續陰天。」／4-8秒：鏡頭推向信箱，內部一抹白色一閃而過／9-12秒：畫面急速倒轉回雨夜／13-15秒：字卡「今晚 21:00，別讓信等太久。」","主頁連結今晚準時開放",none,draft
2026-06-11,Day 0,Instagram Story,story_poll,"【開演日最終預測】寫這封匿名情書的人是？ A：暗戀你的仰慕者　B：無聊的惡作劇　C：更糟的東西","限動底圖：信封封口的特寫，蠟印未拆，倒影裡隱約有一隻持筆的手","","今晚揭曉，回來對答案",none,draft
2026-06-11,Day 0,X/Threads,text_post,"《雨夜偵探社：第七封情書》今晚 21:00（JST）正式開演。免費、瀏覽器直接玩、七天連載。今晚你只需要做一件事：決定要不要拆開那封信。連結見置頂。","","","點置頂連結開始遊玩",none,draft
2026-06-11,Day 0,LINE OA/Telegram,broadcast,"【開演通知】今晚21:00，第一封信會送進你的信箱。《雨夜偵探社：第七封情書》七夜連載開始。雨具不用準備，勇氣需要一點。點下方選單開始遊玩。","","","點選單「開始第一夜」",none,draft
2026-06-11,Day 1,TikTok/Reels,short_video,"Day1「雨夜，第一封信」：收到情書的第一個晚上，我家門口站了一個偵探。#雨夜偵探社","封面：門縫透出的光切過黑暗走廊，一個撐傘剪影","0-3秒：拆信動畫，旁白讀信「十次有九次在下雨……」／4-7秒：讀到最後一行，手指僵住，畫面抽色／8-11秒：敲門聲三下，門外剪影「有人委託我注意你的信箱。」／12-15秒：字卡「（虛構劇情）信的最後一行寫著：明天，葉山結衣會消失。——這是遊戲的第一夜。」黑屏雨聲，角落常駐「本內容純屬虛構」角標","現在就去玩Day1，免費",low,draft
2026-06-11,Day 1,Instagram Story,story_poll,"【Day1限動】深夜，自稱偵探的陌生人說「有人委託我注意你的信箱」。你會？ A：讓他進門　B：隔著門鏈問清楚","限動底圖：門鏈拉著的門縫，外面雨衣肩線與一截傘尖","","玩到Day1結尾再回來投票",low,draft
2026-06-11,Day 1,X/Threads,text_post,"Day1 上線。「收到情書的第一個晚上，我家門口站了一個偵探。」明明是初次見面，他卻記得我不吃香菜。離開前他低聲說：「這次我不會遲到。」——這次？今晚的問題：浪漫和毛骨悚然，有時只差一行字。","","","遊玩連結在置頂，玩完回來留言",low,draft
2026-06-11,Day 1,小紅書,image_post,"Day1開箱｜一封匿名情書的正確打開方式｜最後一行請做好心理準備｜評論區禁止劇透明天","信件平拍：檯燈下的情書，字跡工整，最後一行用故事內視角打上馬賽克，旁邊一杯冒熱氣的茶","","玩完Day1來評論區報到：你讓偵探進門了嗎",low,draft
2026-06-12,Day 2,TikTok/Reels,short_video,"Day2「消失的星期五」：預告成真了。而嫌疑人的手機裡，有一張我不記得拍過的照片。#雨夜偵探社","封面：手機螢幕亮起，相簿縮圖打碼，反射出震驚的眼睛","0-3秒：未接來電畫面堆疊，旁白「結衣，沒有來上班。」／4-7秒：咖啡店吧台，店長微笑「老樣子？熱拿鐵少糖。」／8-12秒：手機相簿滑動驟停，旁白「照片裡的我在笑。可是我，不記得拍過這張照片。」／13-15秒：偵探伸手沒收手機，字卡「『這個，跟案子無關。』」","Day2 已更新，去查清楚",low,draft
2026-06-12,Day 2,Instagram Story,story_poll,"【Day2限動】溫柔的咖啡店店長，手機裡存著你三年前的合照。他是？ A：危險的跟蹤狂　B：一定另有隱情","限動底圖：咖啡拉花特寫，杯緣旁放著一支螢幕朝下的手機","","投完票去Day2找答案",low,draft
2026-06-12,Day 2,X/Threads,text_post,"Day2 上線。失蹤預告成真，結衣失聯。「嫌疑人的手機裡，有一張我不記得拍過的照片。照片裡我在笑。」更奇怪的是偵探——他看到那張合照的瞬間，第一次露出了不像偵探的表情。然後把照片沒收了。跟案子無關？我不信。","","","你信店長還是信偵探？留言站隊",low,draft
2026-06-12,Day 2,小紅書,image_post,"Day2線索整理｜失蹤的同事、可疑的店長、一張不存在於記憶裡的合照｜你的嫌疑人名單上現在有幾個名字？","線索板風格：軟木板上釘著咖啡店收據、打碼合照、紅線連接三張人物剪影卡，便利貼寫「跟案子無關？」","","評論區交出你的嫌疑人排序",low,draft
2026-06-13,Day 3,TikTok/Reels,short_video,"Day3「不是第一次」：他說，他不是第一次失去我。可是我，明明是第一次遇見他。#雨夜偵探社","封面：雨中两人距離極近，偵探手扶著玩家手臂，神情緊繃","0-3秒：圖書館翻舊報紙的手，氣音旁白「噓——圖書館裡要小聲一點喔。」／4-7秒：夜路腳步聲逼近，畫面搖晃，被人猛地拉開／8-11秒：擦傷上藥特寫，他的手在發抖，低聲「……我不是第一次失去你。」／12-15秒：字卡「舊報紙上被塗黑的名字，筆畫數和我的名字一樣。」","Day3 更新，真相開始漏雨",mid,draft
2026-06-13,Day 3,Instagram Story,story_poll,"【Day3限動】「我不是第一次失去你。」這句話讓你？ A：心動到不行　B：背脊發涼　C：小孩子才做選擇，我全都要","限動底圖：雨夜路燈下兩把傘，一把斜向另一把，地面水窪倒影","","去Day3聽他親口說",mid,draft
2026-06-13,Day 3,X/Threads,text_post,"Day3 上線。今天差點出事。擋在我前面的偵探，事後幫我處理擦傷時手一直在抖，卻拒絕解釋任何過去。他外套口袋裡掉出一張舊門卡，上面的診所名字，和三年前那則火災新聞是同一間。我是第一次遇見他。那他失去過的，是誰？","","","留言寫下你的推理，明天對答案",mid,draft
2026-06-13,Day 3,小紅書,image_post,"Day3名場面｜「被保護」和「被隱瞞」是同一雙手做的事｜今日心動與心寒比例 5:5","插画感分鏡：上格是雨中被拉進傘下的瞬間（心動），下格是塗黑名字的舊報紙特寫（心寒），中間一道撕裂的紙痕分隔","","評論：你還敢喜歡這個偵探嗎",mid,draft
2026-06-14,Day 4,TikTok/Reels,short_video,"Day4「筆跡」：全世界都說是他寫的。只有他自己，連「不是我」都不肯說。#雨夜偵探社","封面：兩張字跡並排比對，重疊處幾乎吻合，背景一盞熄滅的招牌","0-3秒：辦公桌上第二封情書，周圍同事竊語聲／4-7秒：筆跡比對畫面，兩行字逐漸重疊吻合，心跳聲加速／8-12秒：質問鏡頭，偵探垂眼「你想報警的話，我不會跑。」／13-15秒：雨夜空鏡，字卡「偵探社的燈，今夜沒有亮。」","Day4 更新：你還信他嗎",mid,draft
2026-06-14,Day 4,Instagram Story,story_poll,"【Day4限動】證據全部指向偵探，而他不辯解。你會？ A：繼續相信他　B：開始懷疑他　C：再給我查一晚","限動底圖：熄燈的偵探社窗戶，雨水順著玻璃流下，街燈在水痕裡碎開","","本次投票結果將在明日限動公布",mid,draft
2026-06-14,Day 4,X/Threads,text_post,"Day4 上線。第二封情書出現在我公司桌上。筆跡鑑定指向那個每晚陪我查案的人。我問他為什麼不辯解，他只說：「你想報警的話，我不會跑。」喜歡一個人最殘酷的版本：所有證據都說他有罪，而他連自己都不肯救。今晚，偵探社沒有亮燈。","","","轉發＋留言：他在隱瞞什麼？",mid,draft
2026-06-14,Day 4,小紅書,image_post,"Day4暴擊｜「不辯解」三個字能有多虐｜評論區已哭倒一片｜溫馨提示：今天先別站隊，明天有大的","氛圍圖：雨夜街角仰拍熄燈的偵探社招牌，霓虹全暗只剩輪廓，一個人站在樓下沒有撐傘","","收藏這篇，Day5之後回來重讀",mid,draft
2026-06-15,Day 5,TikTok/Reels,short_video,"Day5「同意書」：他承認刪掉了我的記憶。為什麼認罪的人看起來，比我還痛？#雨夜偵探社","封面：一紙文件特寫，簽名欄折角處被光照出隱約字跡","0-3秒：對峙呼吸聲，旁白「我只想要一個解釋。」／4-8秒：偵探閉眼，一字一句「三年前，刪掉你記憶的人——是我安排的。」／9-12秒：沉默。他站在原地，像在等待審判／13-15秒：同意書折角透光，字卡「折角處隱約透出一行小字。」","Day5 更新：去看清那行小字",mid,draft
2026-06-15,Day 5,Instagram Story,story_poll,"【Day5限動】他承認安排了刪除你的記憶。你的第一反應是？ A：憤怒——憑什麼替我決定　B：心碎——但總覺得哪裡不對勁","限動底圖：泛黃文件的折角特寫，逆光下隱約一行透出的小字，不可辨識","","哪裡不對勁？答案藏在Day5裡",mid,draft
2026-06-15,Day 5,X/Threads,text_post,"Day5 上線。今天是整個故事最重的一天。他坦白了，然後安靜地等我審判。我第一次握有傷害他的權力——而我發現我下不了手。只是那份同意書的折角處，好像透出另一行小字。被刪掉的三年裡，到底誰對誰做了什麼？","","","今天的選擇會大幅影響你的結局，慎選",mid,draft
2026-06-15,Day 5,小紅書,image_post,"Day5劇情核爆｜「認罪的人比受害者還痛」是什麼修羅場｜今天的選擇直接影響結局走向，手別抖","電影感劇照：昏暗偵探社內，桌上一份文件與兩杯沒動過的茶，兩人剪影一坐一立，窗外雨幕","","評論：你選了憤怒還是心碎？（禁劇透折角）",mid,draft
2026-06-16,Day 6,TikTok/Reels,short_video,"Day6「第七封信」：第七封情書是我寫的。原來我才是那個，先說了再見的人。#雨夜偵探社","封面：七封信在地板攤開成扇形，一隻顫抖的手懸在第七封上方","0-3秒：凌晨手機亮起，雜訊語音「前輩、快走——」／4-7秒：門縫滑進牛皮紙袋，七封信原稿散落／8-12秒：旁白讀L7片段「不是你弄丟了我——是我，自己選擇放開你的手。」聲音哽住／13-15秒：字卡「偵探搶先一步，獨自去了那個地方。」","Day6 更新：最後一夜之前，把信讀完",mid,draft
2026-06-16,Day 6,Instagram Story,story_poll,"【Day6限動】邀請函上寫著：明晚八點，廢診所舊址，請帶上偵探。你會？ A：帶他一起面對　B：瞞著他自己去","限動底圖：一張素白邀請函壓在七封信上，檯燈光圈外是全黑的房間","","你的答案，明晚見分曉",mid,draft
2026-06-16,Day 6,X/Threads,text_post,"Day6 上線。七封信的原稿到了我手上。讀到第七封的時候，我終於明白這三年來「他從不出現」是什麼意思——那是一個人能做到的，最安靜的告白。但現在不是哭的時候。他發現了邀請函，搶先一步獨自去了診所舊址。明晚八點。雨停之前，一切都要結束了。","","","最終夜倒數，明晚同一時間",mid,draft
2026-06-16,Day 6,小紅書,image_post,"Day6萬箭穿心｜全網都在二刷第七封信｜「刪得掉記憶，刪不掉喜歡」｜明晚大結局，請備好紙巾","信紙特寫：雨夜窗邊攤開的手寫信，最後一段文字被淚痕暈開不可讀，窗玻璃映出模糊人影","","關注＋開提醒，明晚八點大結局",mid,draft
2026-06-17,Day 7,TikTok/Reels,short_video,"Day7 終夜「雨停之前」：她說她沒有說謊。最可怕的是，她說得對。#雨夜偵探社 大結局","封面：廢診所走廊盡頭，一扇半開的門透出冷白光，門前兩把收起的傘","0-3秒：廢診所鐵門推開的聲音，手電筒光掃過走廊／4-7秒：平靜的女聲在黑暗裡「我從頭到尾，沒有對你說過一句謊。」／8-11秒：「說謊的，是你們兩個。」雨聲驟停，全片第一次完全無聲／12-15秒：字卡「真相、保護、離開——最後的選擇，是你的。」","大結局已上線：做出你的選擇",mid,draft
2026-06-17,Day 7,Instagram Story,story_poll,"【終夜限動】雨停之前，最後一問：你選真相，還是選人？ A：真相　B：人　C：我想兩個都不放手","限動底圖：診所舊址窗外，雨勢漸歇，雲層裂開一線天光","","現在就去做出你的選擇",mid,draft
2026-06-17,Day 7,X/Threads,text_post,"Day7 大結局上線。七個雨夜，七封信，最後站在廢診所裡的我終於知道：這個案子裡沒有怪物，只有不肯放過自己的人。你的每一個選擇，會把這個故事帶向不同的終點。雨停之前——去吧。（評論區開劇透保護：請用「我到了□□的結局」格式，不要寫出內容）","","","通關後回來，用暗號格式分享你的結局",mid,draft
2026-06-17,Day 7,小紅書,image_post,"大結局之夜｜七天的雨，今晚會停嗎｜通關的人評論區用 🌧️ 或 🌤️ 安靜報到｜暗號制：只報結局代號，不准劇透內容","終章海報：雨後初晴的清晨街道，偵探社窗戶半開，桌上七封信壓著一把鑰匙，光線溫柔","","通關後評論區報到：🌧️ 或 🌤️＋你的結局代號",mid,draft
2026-06-17,Day 7,LINE OA/Telegram,broadcast,"【終夜通知】Day7 大結局已上線。七封信的最後一封，等你親手讀完。溫馨提醒：Day7 的選擇無法回頭，請在心裡準備好答案再進場。","","","點選單「進入最終夜」",mid,draft
2026-06-18,Day 8,TikTok/Reels,short_video,"通關的人都在這支影片底下集合。報上你的結局，不准劇透內容。#雨夜偵探社 #結局報到","封面：四張背面朝上的結局卡牌呈十字排列，中央第五張微微發光","0-3秒：旁白「七個夜晚結束了。但每個人的雨，停在不同的地方。」／4-8秒：四張卡牌依序翻轉一半又蓋回（只露出顏色：灰、黑、金、粉）／9-12秒：第五張卡牌震動了一下，沒有翻開／13-15秒：字卡「留言報上你的結局顏色。第五張卡的事，之後再說。」","留言你的結局顏色＋一句不劇透感想",low,draft
2026-06-18,Day 8,Instagram Story,story_poll,"【結局人口普查】你抵達了哪個夜晚的盡頭？ A：雨還在下（意難平派）　B：雨停了（圓滿派）（不公布內容，只統計心情）","限動底圖：兩格分割：左格雨夜窗景，右格雨後晴窗，中間一道窗框","","分享這則限動＋你的選項到你的限動",low,draft
2026-06-18,Day 8,X/Threads,text_post,"結局分享日。規則很簡單：①用「我的雨停在＿＿」造句②可以講心情，不可以講內容③看到別人的句子不准追問。今天這裡是全網最溫柔的劇透保護區。順帶一提——有些檔案，偵探社還沒有公開。","","","引用轉發你的「我的雨停在＿＿」",low,draft
2026-06-18,Day 8,小紅書,image_post,"通關報到帖｜曬出你的結局卡（系統生成、自帶防劇透馬賽克）｜評論區只准發🌧️🌤️💌☔四種表情站隊","UGC模板圖：可分享的結局卡樣板，留空白處給玩家代號與通關日期，雨滴紋章浮水印，自動遮蔽結局名稱","","用故事內建的「分享結局卡」按鈕生成你的卡",low,draft
2026-06-19,Day 9,TikTok/Reels,short_video,"主線免費，這點永遠不變。但偵探社的檔案櫃裡，還有幾份沒對外公開的東西。#雨夜偵探社 #隱藏檔案","封面：牛皮紙檔案袋三件並排，封蠟未拆，標籤分別寫「CASE」「DIARY」「？？？」","0-3秒：檔案櫃拉開的聲音，手電筒掃過三份檔案袋／4-7秒：旁白「結案了。但『結案』和『真相』，從來不是同一件事。」／8-12秒：特寫封蠟上的雨滴紋章，標籤：True Case File／Secret Diary／？？？／13-15秒：字卡「想看完整版的人，檔案櫃在主頁連結裡。不想看的人，你的故事已經完整了。」","好奇的人，點主頁連結打開檔案櫃",low,draft
2026-06-19,Day 9,Instagram Story,story_poll,"【檔案櫃投票】如果只能拆一份封印，你最想打開？ A：True Case File（完整案件真相）　B：Secret Diary（某人三年來的日記）　C：標籤是「？？？」的那份","限動底圖：三份檔案袋俯拍，封蠟在燭光下泛紅，影子拉得很長","","投票最高的檔案，明天放出一頁不劇透試閱",low,draft
2026-06-19,Day 9,X/Threads,text_post,"常見問題：「付費內容是什麼？」答：主線七天＋兩種結局完全免費，現在是、以後也是。付費解鎖的是補完——完整證據鏈的 True Case File、那個人沒說出口的 Secret Diary、以及一個我們現在還不能描述的終章。不買，你的故事是完整的。買了，你會知道雨為什麼下了三年。","","","詳情見主頁連結，無壓力，檔案不會跑",low,draft
2026-06-19,Day 9,小紅書,image_post,"補完檔案開箱（不劇透版）｜主線免費黨放心：你們的結局是完整的｜付費內容＝給意難平的人一個「原來如此」｜全文無剧透可安心閱讀","質感平拍：木桌上三份未拆封檔案袋＋一杯熱拿鐵（少糖）＋一把摺好的傘，雨後窗光","","想補完的人看評論區置頂連結",low,draft
2026-06-19,Day 9,LINE OA/Telegram,broadcast,"【檔案櫃開放】通關辛苦了。偵探社的檔案櫃今日開放：True Case File／Secret Diary／以及一份標籤無法顯示的檔案。主線永遠免費，補完隨你心意。點選單查看詳情。","","","點選單「打開檔案櫃」",low,draft
2026-06-20,Day 10,TikTok/Reels,short_video,"第二次讀同一封信，你會看到完全不同的故事。二周目，開門了。#雨夜偵探社 #二周目","封面：同一封信的兩種光線：左半雨夜冷藍、右半晴日暖金","0-3秒：Day1 開場畫面重播，但鏡頭多停留了一秒在背景角落／4-8秒：旁白「你以為的伏笔回收率，大概只有一半。」／9-12秒：快剪：咖啡店、圖書館、雨傘、合照——每格都圈出初見時沒注意的細節（不露真相）／13-15秒：字卡「二周目通關，還會多送你一把鑰匙。」","重開Day1，這次你會看見不一樣的雨",low,draft
2026-06-20,Day 10,Instagram Story,story_poll,"【二周目意向調查】如果重來一次，你最想改變哪一天的選擇？ A：Day4 那一晚　B：Day5 那一晚　C：我一個選擇都不想改","限動底圖：時鐘倒轉的殘影特寫，錶面映出雨絲","","二周目入口在主頁連結",low,draft
2026-06-20,Day 10,X/Threads,text_post,"十四天的旅程到這裡告一段落。謝謝每一個在雨夜裡點開信的你。最後說一件事就好：故事裡的雨停了，但汐見市的梅雨季——還沒有結束。我們，下一場雨見。","","","關注帳號，下一季情報將在此首發",low,draft
2026-06-20,Day 10,小紅書,image_post,"完結撒花｜S1全勤玩家請收下這張紀念海報｜二周目隱藏要素已就位｜以及……檔案櫃最深處那份檔案，標籤好像換了","完結紀念海報：雨後黃昏的偵探社全景，窗台上並排兩個茶杯，遠處天空一半放晴一半積雨雲，底部小字「Season 1 完／雨季未完」","","收藏海報＋關注，S2情報第一時間推送",low,draft
